Lamda= 0.5
Mu= 0.2
Tiempo de simulacion: 100.0

Tiempo 	 cola promedio
3.3968172	0.0
3.6925285	0.08008368
4.4484625	0.40633798
4.675869	0.53247833
4.675869	0.53247833
4.675869	0.53247833
4.675869	0.53247833
4.675869	0.53247833
4.675869	0.53247833
5.039946	1.1441576
8.697346	4.8682084
13.1628895	6.9484344
13.915496	7.2216434
14.96406	7.6265454
21.389915	9.541228
21.389915	9.541228
23.09272	10.017483
23.09272	10.017483
27.27613	11.241782
27.616322	11.337352
27.616322	11.337352
27.791044	11.398101
27.791044	11.398101
27.791044	11.398101
28.439335	11.685369
28.439335	11.685369
28.610209	11.770862
28.610209	11.770862
32.535786	13.728975
33.739002	14.273578
37.024246	15.669019
37.024246	15.669019
38.048454	16.108625
38.048454	16.108625
38.048454	16.108625
38.048454	16.108625
38.048454	16.108625
38.58222	16.397646
42.834545	18.542183
42.834545	18.542183
44.311874	19.257572
47.72165	20.811098
49.875286	21.726044
49.875286	21.726044
49.875286	21.726044
49.875286	21.726044
49.875286	21.726044
49.875286	21.726044
49.875286	21.726044
50.815086	22.230461
52.31964	23.02903
52.31964	23.02903
52.31964	23.02903
54.29295	24.118341
55.4263	24.729359
56.04447	25.063244
66.0456	29.747923
75.46948	33.150894
79.5673	34.430656
80.04108	34.576084
81.51218	35.034924
82.654945	35.393913
82.654945	35.393913
82.654945	35.393913
83.05822	35.532806
86.45281	36.689842
86.45281	36.689842
86.45281	36.689842
86.46137	36.69294
86.46137	36.69294
86.46137	36.69294
92.88866	39.066765
92.88866	39.066765
92.88866	39.066765
92.88866	39.066765
93.04581	39.127453
93.04581	39.127453
93.04581	39.127453
93.04581	39.127453
94.57014	39.77014
96.01435	40.375263
96.01435	40.375263
96.58332	40.620476
101.61946	42.720753


Tiempos 	 utilidad


Clientes at 	 demora prom
0	0.0


Tiempos 	 cola
0.0	0
0.74177617	0
3.3968172	1
3.6925285	2
4.4484625	3
4.675869	4
4.675869	5
4.675869	6
4.675869	7
4.675869	8
4.675869	9
5.039946	10
8.697346	11
13.1628895	12
13.915496	13
14.96406	14
21.389915	15
21.389915	16
23.09272	17
23.09272	18
27.27613	19
27.616322	20
27.616322	21
27.791044	22
27.791044	23
27.791044	24
28.439335	25
28.439335	26
28.610209	27
28.610209	28
32.535786	29
33.739002	30
37.024246	31
37.024246	32
38.048454	33
38.048454	34
38.048454	35
38.048454	36
38.048454	37
38.58222	38
42.834545	39
42.834545	40
44.311874	41
47.72165	42
49.875286	43
49.875286	44
49.875286	45
49.875286	46
49.875286	47
49.875286	48
49.875286	49
50.815086	50
52.31964	51
52.31964	52
52.31964	53
54.29295	54
55.4263	55
56.04447	56
66.0456	57
75.46948	58
79.5673	59
80.04108	60
81.51218	61
82.654945	62
82.654945	63
82.654945	64
83.05822	65
86.45281	66
86.45281	67
86.45281	68
86.46137	69
86.46137	70
86.46137	71
92.88866	72
92.88866	73
92.88866	74
92.88866	75
93.04581	76
93.04581	77
93.04581	78
93.04581	79
94.57014	80
96.01435	81
96.01435	82
96.58332	83
